0,0,0.025
0,1,0.025
0,2,0.025
0,3,0.025
0,4,0.025
0,5,0.025
0,6,0.025
0,7,0.025
0,8,0.025
0,9,0.025
0,10,0.025
1,0,0.025
1,1,0.025
1,2,0.025
1,3,0.025
1,4,0.025
1,5,0.025
1,6,0.025
1,7,0.025
1,8,0.025
1,9,0.025
1,10,0.025
2,0,0.025
2,1,0.05
2,2,0.025
2,3,0.025
2,4,0.025
2,5,0.025
2,6,0.025
2,7,0.025
2,8,0.025
2,9,0.025
2,10,0.025
3,0,0.025
3,1,0.025
3,2,0.025
3,3,0.025
3,4,0.025
3,5,0.025
3,6,0.025
3,7,0.025
3,8,0.025
3,9,0.025
3,10,0.025
4,0,0.025
4,1,0.025
4,2,0.025
4,3,0.025
4,4,0.025
4,5,0.025
4,6,0.025
4,7,0.025
4,8,0.025
4,9,0.025
4,10,0.025
5,0,0.025
5,1,0.025
5,2,0.025
5,3,0.025
5,4,0.025
5,5,0.025
5,6,0.025
5,7,0.025
5,8,0.025
5,9,0.025
5,10,0.025
6,0,0.05
6,1,0.025
6,2,0.025
6,3,0.025
6,4,0.025
6,5,0.025
6,6,0.025
6,7,0.025
6,8,0.025
6,9,0.025
6,10,0.025
7,0,0.025
7,1,0.025
7,2,0.025
7,3,0.025
7,4,0.025
7,5,0.025
7,6,0.025
7,7,0.025
7,8,0.025
7,9,0.025
7,10,0.025
8,0,0.025
8,1,0.025
8,2,0.025
8,3,0.025
8,4,0.025
8,5,0.025
8,6,0.025
8,7,0.025
8,8,0.025
8,9,0.025
8,10,0.025
9,0,0.025
9,1,0.025
9,2,0.025
9,3,0.025
9,4,0.025
9,5,0.025
9,6,0.025
9,7,0.025
9,8,0.025
9,9,0.025
9,10,0.025
10,0,0.025
10,1,0.025
10,2,0.025
10,3,0.025
10,4,0.025
10,5,0.025
10,6,0.025
10,7,0.025
10,8,0.025
10,9,0.025
10,10,0.025
11,0,0.025
11,1,0.025
11,2,0.025
11,3,0.05
11,4,0.025
11,5,0.05
11,6,0.025
11,7,0.025
11,8,0.05
11,9,0.025
11,10,0.025
12,0,0.025
12,1,0.025
12,2,0.025
12,3,0.025
12,4,0.025
12,5,0.025
12,6,0.025
12,7,0.025
12,8,0.025
12,9,0.025
12,10,0.025
13,0,0.025
13,1,0.025
13,2,0.025
13,3,0.025
13,4,0.025
13,5,0.025
13,6,0.025
13,7,0.025
13,8,0.025
13,9,0.025
13,10,0.025
14,0,0.025
14,1,0.025
14,2,0.025
14,3,0.025
14,4,0.025
14,5,0.025
14,6,0.025
14,7,0.025
14,8,0.025
14,9,0.025
14,10,0.025
15,0,0.05
15,1,0.05
15,2,0.025
15,3,0.025
15,4,0.025
15,5,0.025
15,6,0.025
15,7,0.025
15,8,0.025
15,9,0.025
15,10,0.025
16,0,0.025
16,1,0.025
16,2,0.025
16,3,0.025
16,4,0.025
16,5,0.025
16,6,0.025
16,7,0.025
16,8,0.025
16,9,0.025
16,10,0.025
17,0,0.025
17,1,0.025
17,2,0.025
17,3,0.025
17,4,0.025
17,5,0.025
17,6,0.025
17,7,0.025
17,8,0.025
17,9,0.025
17,10,0.025
18,0,0.025
18,1,0.025
18,2,0.025
18,3,0.025
18,4,0.025
18,5,0.025
18,6,0.025
18,7,0.025
18,8,0.025
18,9,0.025
18,10,0.025
19,0,0.025
19,1,0.025
19,2,0.025
19,3,0.025
19,4,0.025
19,5,0.025
19,6,0.025
19,7,0.025
19,8,0.025
19,9,0.025
19,10,0.025
20,0,0.025
20,1,0.025
20,2,0.025
20,3,0.025
20,4,0.025
20,5,0.025
20,6,0.025
20,7,0.025
20,8,0.025
20,9,0.025
20,10,0.025
21,0,0.05
21,1,0.025
21,2,0.025
21,3,0.025
21,4,0.025
21,5,0.025
21,6,0.025
21,7,0.025
21,8,0.025
21,9,0.025
21,10,0.025
22,0,0.05
22,1,0.05
22,2,0.025
22,3,0.025
22,4,0.025
22,5,0.025
22,6,0.025
22,7,0.025
22,8,0.025
22,9,0.025
22,10,0.025
23,0,0.025
23,1,0.025
23,2,0.025
23,3,0.025
23,4,0.025
23,5,0.025
23,6,0.025
23,7,0.025
23,8,0.025
23,9,0.025
23,10,0.025
24,0,0.025
24,1,0.025
24,2,0.025
24,3,0.025
24,4,0.025
24,5,0.025
24,6,0.025
24,7,0.025
24,8,0.025
24,9,0.025
24,10,0.025
25,0,0.025
25,1,0.025
25,2,0.025
25,3,0.025
25,4,0.025
25,5,0.025
25,6,0.025
25,7,0.025
25,8,0.025
25,9,0.025
25,10,0.025
